ticker,company,sector
AAPL,Apple,Information Technology
MSFT,Microsoft,Information Technology
NVDA,NVIDIA,Information Technology
AVGO,Broadcom,Information Technology
CRM,Salesforce,Information Technology
AMD,Advanced Micro Devices,Information Technology
NOW,ServiceNow,Information Technology
GOOGL,Alphabet,Communication Services
META,Meta Platforms,Communication Services
NFLX,Netflix,Communication Services
DIS,Walt Disney,Communication Services
AMZN,Amazon,Consumer Discretionary
TSLA,Tesla,Consumer Discretionary
HD,Home Depot,Consumer Discretionary
BKNG,Booking Holdings,Consumer Discretionary
NKE,Nike,Consumer Discretionary
COST,Costco Wholesale,Consumer Staples
WMT,Walmart,Consumer Staples
KO,Coca-Cola,Consumer Staples
PG,Procter & Gamble,Consumer Staples
LLY,Eli Lilly,Health Care
UNH,UnitedHealth Group,Health Care
ISRG,Intuitive Surgical,Health Care
TMO,Thermo Fisher Scientific,Health Care
VRTX,Vertex Pharmaceuticals,Health Care
ABBV,AbbVie,Health Care
JPM,JPMorgan Chase,Financials
V,Visa,Financials
SCHW,Charles Schwab,Financials
BLK,BlackRock,Financials
CAT,Caterpillar,Industrials
GE,GE Aerospace,Industrials
ETN,Eaton,Industrials
URI,United Rentals,Industrials
PWR,Quanta Services,Industrials
HON,Honeywell,Industrials
XOM,Exxon Mobil,Energy
CVX,Chevron,Energy
COP,ConocoPhillips,Energy
EOG,EOG Resources,Energy
LIN,Linde,Materials
FCX,Freeport-McMoRan,Materials
SHW,Sherwin-Williams,Materials
PLD,Prologis,Real Estate
AMT,American Tower,Real Estate
EQIX,Equinix,Real Estate
NEE,NextEra Energy,Utilities
CEG,Constellation Energy,Utilities
DUK,Duke Energy,Utilities
BRK-B,Berkshire Hathaway,Financials
